	Distance along stream										
Steam	0	10	20	30	40	50	60	70	80	90	100
1	7	9	16	7	9	12	16	18	27	33	44
2	7	9	9	12	21	24	30	56	56	63	69
3	7	8	10	12	16	25	32	33	46	50	64
4	9	17	18	24	30	36	46	70	90	108	134
5	9	8	16	23	33	52	79	111	128	166	266
6	13	7	21	19	33	37	51	58	80	101	134
7	6	11	16	16	29	26	41	42	53	71	81
8	18	17	26	27	27	36	45	68	76	86	127
9	11	17	25	13	22	37	44	48	52	50	66
10	11	13	20	17	26	15	22	26	28	38	28
11	18	22	23	35	41	39	46	61	67	93	124
12	15	22	25	39	54	73	79	103	145	181	249
13	16	29	36	46	75	86	125	183	250	389	593
14	20	26	30	26	27	57	46	47	79	78	89
15	26	23	27	43	49	48	83	97	127	166	201																																		
16	21	21	24	18	14	18	16	14	14	9	15																																		
17	29	32	52	45	81	84	124	171	239	309	430																																		
18	24	29	22	21	37	36	35	38	56	41	46																																		
19	42	33	56	72	109	135	162	253	362	524	737																																		
20	22	36	32	41	46	75	88	100	130	131	205																																		

Variance co-variance matrix																																													
	Mu-F	Mu-L	Sigma-Mu	alpha-bar	Sigma-Alpha	Mu-1	Mu-2	Mu-3	Mu-4	Mu-5	Mu-6	Mu-7	Mu-8	Mu-9	Mu-10	Mu-11	Mu-12	Mu-13	Mu-14	Mu-15	Mu-16	Mu-17	Mu-18	Mu-19	Mu-20	Alpha-1	Alpha-2	Alpha-3	Alpha-4	Alpha-5	Alpha-6	Alpha-7	Alpha-8	Alpha-9	Alpha-10	Alpha-11	Alpha-12	Alpha-13	Alpha-14	Alpha-15	Alpha-16	Alpha-17	Alpha-18	Alpha-19	Alpha-20
-0.03240385	0.3809126	0.003325879	-0.000116026	3.36E-05	-0.01842892	-0.004331939	0.007220412	0.02599929	0.03488705	0.05617438	0.07579829	0.09521532	0.1174929	0.1415306	0.1544022	0.1673068	0.1758436	0.7484617	0.2313809	0.2720411	0.26312	0.3072814	0.2953485	0.3383777	3.81E-05	6.99E-06	-1.25E-05	-3.32E-05	-4.29E-05	-6.37E-05	-8.39E-05	-8.92E-05	-0.000107637	-0.000129843	-0.000119337	-0.000118519	-0.000117035	-0.000495129	-0.000141587	-0.000193602	-0.000139738	-0.000177837	-0.000139629	-0.000167496
-0.05848439	0.4184377	-0.003348572	-0.000114321	2.31E-05	-0.03597547	-0.02172232	-0.003476645	0.007652156	0.02922351	0.05064973	0.07884126	0.08980398	0.1182424	0.1494226	0.1584703	0.1763243	0.1936604	0.2313809	0.7737259	0.2942824	0.2825476	0.3357958	0.3159057	0.3747447	7.57E-05	3.70E-05	4.94E-06	-9.97E-06	-3.60E-05	-5.75E-05	-8.72E-05	-8.42E-05	-0.000108243	-0.000136646	-0.00012245	-0.00012492	-0.000128917	-0.000153465	-0.000472934	-0.000207747	-0.00015007	-0.000193991	-0.000149365	-0.000185459
-0.09490602	0.5021892	-3.24E-05	-0.000126597	9.08E-05	-0.0577722	-0.03918814	-0.02120524	-0.000399548	0.01971639	0.04618608	0.07634006	0.0975577	0.1302685	0.1661723	0.1817726	0.2026873	0.2206002	0.2720411	0.2942824	0.915431	0.3375058	0.4009036	0.3819282	0.4480028	0.000121929	6.74E-05	3.39E-05	4.77E-07	-2.40E-05	-5.23E-05	-8.46E-05	-9.14E-05	-0.000119663	-0.00015381	-0.000140517	-0.000143443	-0.000146677	-0.00018071	-0.000179987	-0.000643714	-0.000179122	-0.000232759	-0.000180454	-0.000221721
-0.1131603	0.4932194	0.008233527	-0.000110179	1.97E-05	-0.06814875	-0.04594923	-0.03652442	-0.001299943	0.006748543	0.03315018	0.05401038	0.0902025	0.1176447	0.1472924	0.1730522	0.1921923	0.2033154	0.26312	0.2825476	0.3375058	0.8414978	0.3903143	0.3837273	0.4362745	0.000144629	7.88E-05	5.89E-05	1.37E-06	-8.40E-06	-3.77E-05	-5.99E-05	-8.45E-05	-0.000107654	-0.000134583	-0.000133656	-0.000136147	-0.000135348	-0.000174399	-0.000172847	-0.000237086	-0.000446781	-0.000225191	-0.000181428	-0.000215855
-0.1528734	0.5888584	-0.000342929	-0.00012368	6.49E-05	-0.0941925	-0.07062827	-0.05059162	-0.0237405	0.002063651	0.03168156	0.0667543	0.09378294	0.1325341	0.1751767	0.1966159	0.2236328	0.2473208	0.3072814	0.3357958	0.4009036	0.3903143	1.02382	0.4459707	0.5253508	0.000200041	0.000121554	8.19E-05	2.99E-05	-2.45E-06	-3.60E-05	-7.40E-05	-8.79E-05	-0.000121543	-0.000161165	-0.000151902	-0.000158315	-0.000164524	-0.000203852	-0.000205367	-0.000286049	-0.000207203	-0.000589812	-0.000210774	-0.000259925
-0.1659566	0.5688262	0.01727057	-0.000107882	2.12E-05	-0.09956233	-0.07029425	-0.06731501	-0.01214173	-0.01372139	0.01732216	0.03345435	0.09048062	0.1183611	0.1481795	0.1879753	0.2091814	0.2164208	0.2953485	0.3159057	0.3819282	0.3837273	0.4459707	0.9479805	0.4996689	0.000211896	0.00012088	0.000109255	1.51E-05	1.67E-05	-1.98E-05	-3.73E-05	-8.48E-05	-0.000108301	-0.000135403	-0.000145138	-0.000148159	-0.000144062	-0.000195688	-0.00019322	-0.000267836	-0.000203776	-0.000257153	-0.000448145	-0.000247178
-0.2071369	0.6683516	-0.005159731	-0.000121221	4.93E-05	-0.1290537	-0.1023693	-0.0764012	-0.05114581	-0.01307916	0.0186405	0.06273471	0.08749493	0.1343002	0.1861315	0.2084473	0.2426329	0.2759603	0.3383777	0.3747447	0.4480028	0.4362745	0.5253508	0.4996689	1.145383	0.000274765	0.000176312	0.000124033	6.46E-05	1.60E-05	-2.13E-05	-6.96E-05	-8.20E-05	-0.000123036	-0.000170577	-0.000160982	-0.000171789	-0.000183621	-0.000224309	-0.000229171	-0.000316752	-0.000231629	-0.000303355	-0.000236185	-0.000566315
-0.000523212	0.00030831	-1.93E-06	2.71E-07	1.16E-08	-0.001151474	-0.000302236	-0.000302273	-0.000262328	-0.000230369	-0.000225759	-0.000209099	-0.000170589	-0.000144066	-0.000112934	-7.24E-05	-3.48E-05	2.34E-06	3.81E-05	7.57E-05	0.000121929	0.000144629	0.000200041	0.000211896	0.000274765	3.39E-06	5.23E-07	4.96E-07	3.33E-07	2.83E-07	2.56E-07	2.31E-07	1.60E-07	1.32E-07	1.04E-07	5.67E-08	2.52E-08	-1.28E-09	-2.40E-08	-4.56E-08	-7.99E-08	-7.64E-08	-1.13E-07	-1.00E-07	-1.35E-07
-0.000384521	0.000193633	-9.79E-06	1.91E-07	6.29E-08	-0.000243682	-0.000888972	-0.000221161	-0.000206436	-0.00017141	-0.000170879	-0.000151997	-0.000139018	-0.000116664	-9.01E-05	-7.00E-05	-4.09E-05	-6.75E-06	6.99E-06	3.70E-05	6.74E-05	7.88E-05	0.000121554	0.00012088	0.000176312	5.23E-07	2.01E-06	3.63E-07	2.62E-07	2.11E-07	1.94E-07	1.68E-07	1.30E-07	1.07E-07	8.15E-08	5.45E-08	2.94E-08	4.84E-09	-4.10E-09	-2.21E-08	-4.95E-08	-4.15E-08	-6.97E-08	-5.69E-08	-8.67E-08
-0.000369391	0.000145996	1.24E-05	2.03E-07	3.02E-08	-0.000230521	-0.000209243	-0.000916731	-0.000176729	-0.000178239	-0.000176204	-0.000182151	-0.000134073	-0.000127033	-0.000118434	-7.81E-05	-5.89E-05	-4.78E-05	-1.25E-05	4.94E-06	3.39E-05	5.89E-05	8.19E-05	0.000109255	0.000124033	4.96E-07	3.63E-07	2.07E-06	2.25E-07	2.19E-07	2.00E-07	2.01E-07	1.26E-07	1.16E-07	1.08E-07	6.09E-08	4.21E-08	3.21E-08	9.01E-09	-2.54E-09	-2.26E-08	-3.10E-08	-4.62E-08	-5.14E-08	-6.08E-08
-0.000240627	6.28E-05	-2.04E-05	1.33E-07	4.89E-08	-0.000155118	-0.000151431	-0.000136996	-0.000664885	-0.000110104	-0.00011555	-9.31E-05	-0.000110929	-9.28E-05	-7.07E-05	-7.35E-05	-5.23E-05	-1.89E-05	-3.32E-05	-9.97E-06	4.77E-07	1.37E-06	2.99E-05	1.51E-05	6.46E-05	3.33E-07	2.62E-07	2.25E-07	1.13E-06	1.36E-07	1.31E-07	1.03E-07	1.04E-07	8.47E-08	6.38E-08	5.70E-08	3.74E-08	1.29E-08	2.23E-08	6.43E-09	-3.05E-09	-4.76E-10	-1.72E-08	-6.96E-09	-3.16E-08
-0.000211701	2.26E-05	8.45E-06	1.24E-07	6.33E-08	-0.000131772	-0.0001216	-0.000133641	-0.00010646	-0.000607959	-0.000113388	-0.000121485	-9.37E-05	-9.38E-05	-9.34E-05	-7.09E-05	-6.26E-05	-5.95E-05	-4.29E-05	-3.60E-05	-2.40E-05	-8.40E-06	-2.45E-06	1.67E-05	1.60E-05	2.83E-07	2.11E-07	2.19E-07	1.36E-07	9.15E-07	1.29E-07	1.34E-07	8.79E-08	8.56E-08	8.38E-08	5.50E-08	4.47E-08	3.99E-08	2.85E-08	2.23E-08	1.21E-08	4.73E-09	1.04E-09	-7.70E-09	-7.68E-09
-0.000189518	-2.11E-05	4.67E-06	1.33E-07	2.72E-08	-0.000118797	-0.000111621	-0.000121612	-0.00010292	-0.000104455	-0.000619589	-0.000116015	-9.72E-05	-9.86E-05	-9.93E-05	-8.24E-05	-7.52E-05	-7.06E-05	-6.37E-05	-5.75E-05	-5.23E-05	-3.77E-05	-3.60E-05	-1.98E-05	-2.13E-05	2.56E-07	1.94E-07	2.00E-07	1.31E-07	1.29E-07	9.99E-07	1.28E-07	9.12E-08	9.01E-08	9.02E-08	6.39E-08	5.35E-08	4.72E-08	4.25E-08	3.54E-08	3.57E-08	2.02E-08	2.10E-08	9.53E-09	1.08E-08
-0.000174901	-6.74E-05	2.05E-05	1.48E-07	-5.29E-09	-0.000107116	-9.67E-05	-0.000122435	-8.08E-05	-0.000108962	-0.00011304	-0.000680857	-9.54E-05	-0.000108474	-0.00012307	-9.21E-05	-9.25E-05	-0.000104848	-8.39E-05	-8.72E-05	-8.46E-05	-5.99E-05	-7.40E-05	-3.73E-05	-6.96E-05	2.31E-07	1.68E-07	2.01E-07	1.03E-07	1.34E-07	1.28E-07	1.20E-06	8.95E-08	9.95E-08	1.13E-07	7.15E-08	6.57E-08	6.99E-08	5.61E-08	5.36E-08	6.19E-08	3.19E-08	4.36E-08	1.77E-08	3.47E-08
-0.000115313	-9.47E-05	-6.13E-06	1.15E-07	4.33E-09	-7.42E-05	-7.52E-05	-7.66E-05	-8.18E-05	-7.15E-05	-8.05E-05	-8.10E-05	-0.00053148	-8.83E-05	-8.86E-05	-8.86E-05	-8.37E-05	-7.45E-05	-8.92E-05	-8.42E-05	-9.14E-05	-8.45E-05	-8.79E-05	-8.48E-05	-8.20E-05	1.60E-07	1.30E-07	1.26E-07	1.04E-07	8.79E-08	9.12E-08	8.95E-08	8.14E-07	8.09E-08	8.10E-08	6.86E-08	5.95E-08	4.97E-08	5.94E-08	5.17E-08	6.49E-08	4.50E-08	5.12E-08	4.02E-08	4.08E-08
-9.60E-05	-0.000136991	1.21E-06	1.28E-07	-3.03E-08	-6.11E-05	-6.15E-05	-7.08E-05	-6.67E-05	-6.97E-05	-7.96E-05	-9.00E-05	-8.62E-05	-0.000554344	-0.000102764	-9.73E-05	-9.72E-05	-9.68E-05	-0.000107637	-0.000108243	-0.000119663	-0.000107654	-0.000121543	-0.000108301	-0.000123036	1.32E-07	1.07E-07	1.16E-07	8.47E-08	8.56E-08	9.01E-08	9.95E-08	8.09E-08	1.01E-06	9.49E-08	7.54E-08	6.89E-08	6.45E-08	7.18E-08	6.64E-08	8.84E-08	5.72E-08	7.12E-08	5.12E-08	6.11E-08
-7.61E-05	-0.000185991	9.71E-06	1.55E-07	-1.07E-07	-4.78E-05	-4.69E-05	-6.56E-05	-5.03E-05	-6.85E-05	-7.98E-05	-0.000101818	-8.62E-05	-0.00010273	-0.00060442	-0.000108509	-0.000113442	-0.000123151	-0.000129843	-0.000136646	-0.00015381	-0.000134583	-0.000161165	-0.000135403	-0.000170577	1.04E-07	8.15E-08	1.08E-07	6.38E-08	8.38E-08	9.02E-08	1.13E-07	8.10E-08	9.49E-08	1.45E-06	8.42E-08	8.03E-08	8.18E-08	8.70E-08	8.37E-08	1.21E-07	7.14E-08	9.56E-08	6.39E-08	8.47E-08
-3.90E-05	-0.000181822	-3.14E-06	1.02E-07	-1.38E-08	-2.60E-05	-3.13E-05	-3.69E-05	-4.48E-05	-4.47E-05	-5.64E-05	-6.46E-05	-7.32E-05	-8.23E-05	-9.18E-05	-0.000485811	-9.85E-05	-9.83E-05	-0.000119337	-0.00012245	-0.000140517	-0.000133656	-0.000151902	-0.000145138	-0.000160982	5.67E-08	5.45E-08	6.09E-08	5.70E-08	5.50E-08	6.39E-08	7.15E-08	6.86E-08	7.54E-08	8.42E-08	6.95E-07	6.99E-08	6.55E-08	7.93E-08	7.50E-08	1.00E-07	7.10E-08	8.82E-08	6.87E-08	7.98E-08
-1.71E-05	-0.000192171	6.10E-07	8.50E-08	3.02E-09	-1.14E-05	-1.68E-05	-2.54E-05	-2.93E-05	-3.63E-05	-4.72E-05	-5.95E-05	-6.34E-05	-7.53E-05	-8.81E-05	-9.04E-05	-0.000446986	-0.00010095	-0.000118519	-0.00012492	-0.000143443	-0.000136147	-0.000158315	-0.000148159	-0.000171789	2.52E-08	2.94E-08	4.21E-08	3.74E-08	4.47E-08	5.35E-08	6.57E-08	5.95E-08	6.89E-08	8.03E-08	6.99E-08	4.82E-07	6.73E-08	7.87E-08	7.65E-08	1.00E-07	7.24E-08	9.14E-08	7.01E-08	8.51E-08
-2.35E-07	-0.000200901	9.90E-06	7.43E-08	1.03E-08	9.45E-07	-2.54E-06	-1.94E-05	-9.92E-06	-3.24E-05	-4.16E-05	-6.33E-05	-5.29E-05	-7.06E-05	-9.02E-05	-8.47E-05	-9.48E-05	-0.00042974	-0.000117035	-0.000128917	-0.000146677	-0.000135348	-0.000164524	-0.000144062	-0.000183621	-1.28E-09	4.84E-09	3.21E-08	1.29E-08	3.99E-08	4.72E-08	6.99E-08	4.97E-08	6.45E-08	8.18E-08	6.55E-08	6.73E-08	3.67E-07	7.76E-08	7.89E-08	1.01E-07	7.20E-08	9.48E-08	6.82E-08	9.09E-08
2.11E-05	-0.000252423	-2.19E-06	9.57E-08	-3.36E-08	1.18E-05	2.60E-06	-5.14E-06	-1.74E-05	-2.32E-05	-3.75E-05	-5.06E-05	-6.33E-05	-7.82E-05	-9.42E-05	-0.000102552	-0.000111012	-0.000116594	-0.000495129	-0.000153465	-0.00018071	-0.000174399	-0.000203852	-0.000195688	-0.000224309	-2.40E-08	-4.10E-09	9.01E-09	2.23E-08	2.85E-08	4.25E-08	5.61E-08	5.94E-08	7.18E-08	8.70E-08	7.93E-08	7.87E-08	7.76E-08	6.99E-07	9.39E-08	1.30E-07	9.26E-08	1.18E-07	9.25E-08	1.11E-07
